%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
29000000,1,29000000,,0.00500634573105,-0.00447447133058,-0.0494147180938,0.0,0.0,0.0
31000000,2,31000000,,-0.00972874037116,0.000572900522903,-0.170824114917,0.0,0.0,0.0
41000000,3,41000000,,0.0103305735791,-0.0248058235013,-0.275005748955,0.0,0.0,0.0
56000000,4,56000000,,-0.00917485875897,0.0064551914326,-0.35999066594,0.0,0.0,0.0
61000000,5,61000000,,-3.23119023978e-06,0.0244303368535,-0.403071300429,0.0,0.0,0.0
73000000,6,73000000,,-0.00135037501033,-0.0156538200219,-0.555478553152,0.0,0.0,0.0
82000000,7,82000000,,0.00248438165188,0.0195564740529,-0.633135955937,0.0,0.0,0.0
91000000,8,91000000,,-0.0205678065415,-0.0361532779133,-0.737249184535,0.0,0.0,0.0
101000000,9,101000000,,0.0132787285038,0.0252462677555,-0.860310708904,0.0,0.0,0.0
113000000,10,113000000,,-0.00492508733826,-0.0126887696782,-0.948557723986,0.0,0.0,0.0
121000000,11,121000000,,0.0175045901497,-0.0125081176365,-1.01125188614,0.0,0.0,0.0
131000000,12,131000000,,-0.00428197354411,-0.00313501201214,-1.11939212562,0.0,0.0,0.0
141000000,13,141000000,,-0.0235312328958,0.0308172526704,-1.2297493219,0.0,0.0,0.0
151000000,14,151000000,,-0.0182650567008,0.0339300141275,-1.33037256797,0.0,0.0,0.0
161000000,15,161000000,,0.00618069216995,-0.0208083690944,-1.44991696517,0.0,0.0,0.0
171000000,16,171000000,,-0.0253587906818,0.0113526186185,-0.383370574272,0.0,0.0,0.0
182000000,17,182000000,,-0.00834917676576,-0.050738057844,-0.0211338940116,0.0,0.0,0.0
191000000,18,191000000,,0.0281002338221,0.00627622878184,-0.00466756587696,0.0,0.0,0.0
201000000,19,201000000,,0.00606986253561,-0.0388435895984,-0.00777709411988,0.0,0.0,0.0
211000000,20,211000000,,-0.0170067439564,-0.00221032400059,0.0166206167939,0.0,0.0,0.0
221000000,21,221000000,,-0.00661575243877,-0.00876952046203,0.0114100131096,0.0,0.0,0.0
231000000,22,231000000,,0.00897120415042,0.00464793588459,-0.0116082695494,0.0,0.0,0.0
241000000,23,241000000,,-0.0257033242094,0.0102433022253,-0.0174254200269,0.0,0.0,0.0
251000000,24,251000000,,-0.00364826566637,0.00702494663922,0.0344381999575,0.0,0.0,0.0
261000000,25,261000000,,-0.0345059424886,0.035482028333,-0.00363979792688,0.0,0.0,0.0
271000000,26,271000000,,-0.031925515342,0.0164804265951,0.0134537987994,0.0,0.0,0.0
281000000,27,281000000,,0.0144807649667,-0.00453778665193,-0.00706012739298,0.0,0.0,0.0
291000000,28,291000000,,0.00384690493147,-0.0132473625799,0.000210957852387,0.0,0.0,0.0
302000000,29,302000000,,0.00838755038118,0.0114078567273,-0.0293590057277,0.0,0.0,0.0
311000000,30,311000000,,-0.0238204468256,-0.00692657353907,0.0017531384548,0.0,0.0,0.0
321000000,31,321000000,,-0.0386099122581,-0.0151145213497,0.0188607714935,0.0,0.0,0.0
331000000,32,331000000,,0.0300603975761,0.00992905024513,-0.0158943732972,0.0,0.0,0.0
344000000,33,344000000,,0.0179010707347,0.0215863763899,0.0137356989345,0.0,0.0,0.0
353000000,34,353000000,,-0.00408800686635,0.0190170810959,0.013284354575,0.0,0.0,0.0
361000000,35,361000000,,0.0109406631037,0.0300233928539,-0.0134884505133,0.0,0.0,0.0
371000000,36,371000000,,-0.0468046207803,-0.022488228038,0.00593146173611,0.0,0.0,0.0
381000000,37,381000000,,-0.0376278744024,-0.0174037144452,0.00157236174662,0.0,0.0,0.0
391000000,38,391000000,,0.0158641253077,-0.0133635791997,-0.0213727473308,0.0,0.0,0.0
401000000,39,401000000,,0.0159778742744,0.0041010618905,-0.00226907746009,0.0,0.0,0.0
411000000,40,411000000,,-0.00815453910629,-0.00510270566262,-0.0188771046093,0.0,0.0,0.0
421000000,41,421000000,,0.0222127809672,-0.0109283544492,-0.0204555311941,0.0,0.0,0.0
431000000,42,431000000,,-0.0314198862684,0.00801554922038,0.0325681386982,0.0,0.0,0.0
441000000,43,441000000,,-0.0210797906504,0.0173127565486,0.0170200106184,0.0,0.0,0.0
451000000,44,451000000,,-0.0556004659002,0.00143540847371,0.00249313325846,0.0,0.0,0.0
461000000,45,461000000,,0.00770305973474,0.00897784849371,0.0133718277249,0.0,0.0,0.0
471000000,46,471000000,,0.0113201956686,-0.0142177982366,-0.0204017444718,0.0,0.0,0.0
481000000,47,481000000,,0.0264505381046,-0.00207633300039,-0.00277778765308,0.0,0.0,0.0
491000000,48,491000000,,-0.0114190446434,0.0122032025423,0.0208797483137,0.0,0.0,0.0
501000000,49,501000000,,-0.0148454362656,0.0012050372603,-0.00414224314372,0.0,0.0,0.0
511000000,50,511000000,,0.0181034373906,-0.00564650038467,-0.0174774501356,0.0,0.0,0.0
521000000,51,521000000,,-0.0199997698629,0.0322941131039,0.0222197673017,0.0,0.0,0.0
531000000,52,531000000,,0.00520299334079,-0.000398867020438,0.0898521880835,0.0,0.0,0.0
542000000,53,542000000,,0.010496026338,-0.00404027338555,0.0321660654528,0.0,0.0,0.0
551000000,54,551000000,,0.00240648871062,-0.0294180208082,0.0903106497959,0.0,0.0,0.0
561000000,55,561000000,,0.0102927034202,0.0026678511523,0.127822452131,0.0,0.0,0.0
572000000,56,572000000,,-0.030716121088,0.00321233782364,0.162921146438,0.0,0.0,0.0
581000000,57,581000000,,-0.0177607094805,-0.017756926489,0.145032363377,0.0,0.0,0.0
591000000,58,591000000,,-0.0020783732723,-0.0288645400717,0.206056780683,0.0,0.0,0.0
601000000,59,601000000,,-0.0121598700351,-0.0305198865523,0.237133766687,0.0,0.0,0.0
611000000,60,611000000,,0.0047929851269,-0.00979158424851,0.334377098199,0.0,0.0,0.0
621000000,61,621000000,,-0.00671204119163,0.0210656120973,0.354610508105,0.0,0.0,0.0
631000000,62,631000000,,-0.0128053466904,0.0311891959285,0.371380064331,0.0,0.0,0.0
641000000,63,641000000,,-0.00186440719981,-0.0125322982757,0.42480962564,0.0,0.0,0.0
651000000,64,651000000,,-0.00478270591956,-0.00404934801023,0.472826975478,0.0,0.0,0.0
661000000,65,661000000,,-0.00182293473935,0.00797450423012,0.511963040899,0.0,0.0,0.0
671000000,66,671000000,,0.0432928027163,0.0140168733489,0.596960075354,0.0,0.0,0.0
681000000,67,681000000,,0.00789951288062,-0.0219358746551,0.6456333434,0.0,0.0,0.0
691000000,68,691000000,,-0.00838201716509,0.0188177300032,0.739998489973,0.0,0.0,0.0
701000000,69,701000000,,-0.00933464648901,0.0090874877598,0.723075200562,0.0,0.0,0.0
711000000,70,711000000,,-0.00709387685361,0.0190259358084,0.812947065085,0.0,0.0,0.0
721000000,71,721000000,,0.0200360915526,0.00404334022434,0.850762657831,0.0,0.0,0.0
731000000,72,731000000,,-0.0119950589955,0.0155300617259,0.933217833997,0.0,0.0,0.0
742000000,73,742000000,,-0.0339041252137,0.0152358194885,0.9876104737,0.0,0.0,0.0
751000000,74,751000000,,0.00332222105488,0.0143738494178,1.02998816412,0.0,0.0,0.0
761000000,75,761000000,,-0.0276575090071,-0.0121645389094,1.10192222491,0.0,0.0,0.0
771000000,76,771000000,,0.000507546018923,0.00234947662854,1.17102036734,0.0,0.0,0.0
781000000,77,781000000,,0.010761702359,-0.0134784661064,1.21494023774,0.0,0.0,0.0
792000000,78,792000000,,-0.0115073228429,0.0238959027488,1.27985398081,0.0,0.0,0.0
801000000,79,801000000,,-0.0175366484138,0.00177729488476,1.31781107138,0.0,0.0,0.0
811000000,80,811000000,,0.00882171841427,0.00239956843471,1.38232557403,0.0,0.0,0.0
821000000,81,821000000,,-0.00817683633306,-0.0659849565132,1.37665463693,0.0,0.0,0.0
831000000,82,831000000,,-0.0337964422594,0.00294488791291,1.44411914108,0.0,0.0,0.0
841000000,83,841000000,,-0.0223609210513,0.00683809698861,1.44251570178,0.0,0.0,0.0
851000000,84,851000000,,-0.0259601117077,0.0402043424709,1.54325966233,0.0,0.0,0.0
861000000,85,861000000,,0.00780136929714,-0.000536685253949,1.55929132852,0.0,0.0,0.0
871000000,86,871000000,,-0.0187811236472,-0.0451039537044,1.5906651464,0.0,0.0,0.0
881000000,87,881000000,,-0.0472330494118,-0.0109285329664,1.57478192329,0.0,0.0,0.0
891000000,88,891000000,,-0.0173595384056,0.0026794252308,1.62051217752,0.0,0.0,0.0
